----方程组 a^3+b^3=c^3 的所有正整数解及解的总个数, a,b,c均小于 50
找到解：1^3 + 19^3 = 19^3
找到解：1^3 + 20^3 = 20^3
找到解：1^3 + 21^3 = 21^3
找到解：1^3 + 22^3 = 22^3
找到解：1^3 + 23^3 = 23^3
找到解：1^3 + 24^3 = 24^3
找到解：1^3 + 25^3 = 25^3
找到解：1^3 + 26^3 = 26^3
找到解：1^3 + 27^3 = 27^3
找到解：1^3 + 28^3 = 28^3
找到解：1^3 + 29^3 = 29^3
找到解：1^3 + 30^3 = 30^3
找到解：1^3 + 31^3 = 31^3
找到解：1^3 + 32^3 = 32^3
找到解：1^3 + 33^3 = 33^3
找到解：1^3 + 34^3 = 34^3
找到解：1^3 + 35^3 = 35^3
找到解：1^3 + 36^3 = 36^3
找到解：1^3 + 37^3 = 37^3
找到解：1^3 + 38^3 = 38^3
找到解：1^3 + 39^3 = 39^3
找到解：1^3 + 40^3 = 40^3
找到解：1^3 + 41^3 = 41^3
找到解：1^3 + 42^3 = 42^3
找到解：1^3 + 43^3 = 43^3
找到解：1^3 + 44^3 = 44^3
找到解：1^3 + 45^3 = 45^3
找到解：1^3 + 46^3 = 46^3
找到解：1^3 + 47^3 = 47^3
找到解：1^3 + 48^3 = 48^3
找到解：1^3 + 49^3 = 49^3
找到解：1^3 + 50^3 = 50^3
找到解：19^3 + 1^3 = 19^3
找到解：20^3 + 1^3 = 20^3
找到解：21^3 + 1^3 = 21^3
找到解：22^3 + 1^3 = 22^3
找到解：23^3 + 1^3 = 23^3
找到解：24^3 + 1^3 = 24^3
找到解：25^3 + 1^3 = 25^3
找到解：26^3 + 1^3 = 26^3
找到解：27^3 + 1^3 = 27^3
找到解：28^3 + 1^3 = 28^3
找到解：29^3 + 1^3 = 29^3
找到解：30^3 + 1^3 = 30^3
找到解：31^3 + 1^3 = 31^3
找到解：32^3 + 1^3 = 32^3
找到解：33^3 + 1^3 = 33^3
找到解：34^3 + 1^3 = 34^3
找到解：35^3 + 1^3 = 35^3
找到解：36^3 + 1^3 = 36^3
找到解：37^3 + 1^3 = 37^3
找到解：38^3 + 1^3 = 38^3
找到解：39^3 + 1^3 = 39^3
找到解：40^3 + 1^3 = 40^3
找到解：41^3 + 1^3 = 41^3
找到解：42^3 + 1^3 = 42^3
找到解：43^3 + 1^3 = 43^3
找到解：44^3 + 1^3 = 44^3
找到解：45^3 + 1^3 = 45^3
找到解：46^3 + 1^3 = 46^3
找到解：47^3 + 1^3 = 47^3
找到解：48^3 + 1^3 = 48^3
找到解：49^3 + 1^3 = 49^3
找到解：50^3 + 1^3 = 50^3
总计找到 64 个解
