--------清空之前的结果，准备写入新的结果-----
在第【66】次组合时找到第【1】个不等边三角形，a=(2),b=(3),c=(4), 面积为（2.904738）
在第【74】次组合时找到第【2】个不等边三角形，a=(2),b=(4),c=(5), 面积为（3.799671）
在第【81】次组合时找到第【3】个不等边三角形，a=(2),b=(5),c=(6), 面积为（4.683748）
在第【87】次组合时找到第【4】个不等边三角形，a=(2),b=(6),c=(7), 面积为（5.562149）
在第【92】次组合时找到第【5】个不等边三角形，a=(2),b=(7),c=(8), 面积为（6.437197）
在第【96】次组合时找到第【6】个不等边三角形，a=(2),b=(8),c=(9), 面积为（7.310096）
在第【99】次组合时找到第【7】个不等边三角形，a=(2),b=(9),c=(10), 面积为（8.181534）
在第【110】次组合时找到第【8】个不等边三角形，a=(3),b=(4),c=(5), 面积为（6.000000）
在第【111】次组合时找到第【9】个不等边三角形，a=(3),b=(4),c=(6), 面积为（5.332682）
在第【117】次组合时找到第【10】个不等边三角形，a=(3),b=(5),c=(6), 面积为（7.483315）
在第【118】次组合时找到第【11】个不等边三角形，a=(3),b=(5),c=(7), 面积为（6.495191）
在第【123】次组合时找到第【12】个不等边三角形，a=(3),b=(6),c=(7), 面积为（8.944272）
在第【124】次组合时找到第【13】个不等边三角形，a=(3),b=(6),c=(8), 面积为（7.644442）
在第【128】次组合时找到第【14】个不等边三角形，a=(3),b=(7),c=(8), 面积为（10.392305）
在第【129】次组合时找到第【15】个不等边三角形，a=(3),b=(7),c=(9), 面积为（8.785642）
在第【132】次组合时找到第【16】个不等边三角形，a=(3),b=(8),c=(9), 面积为（11.832160）
在第【133】次组合时找到第【17】个不等边三角形，a=(3),b=(8),c=(10), 面积为（9.921567）
在第【135】次组合时找到第【18】个不等边三角形，a=(3),b=(9),c=(10), 面积为（13.266499）
在第【145】次组合时找到第【19】个不等边三角形，a=(4),b=(5),c=(6), 面积为（9.921567）
在第【146】次组合时找到第【20】个不等边三角形，a=(4),b=(5),c=(7), 面积为（9.797959）
在第【147】次组合时找到第【21】个不等边三角形，a=(4),b=(5),c=(8), 面积为（8.181534）
在第【151】次组合时找到第【22】个不等边三角形，a=(4),b=(6),c=(7), 面积为（11.976540）
在第【152】次组合时找到第【23】个不等边三角形，a=(4),b=(6),c=(8), 面积为（11.618950）
在第【153】次组合时找到第【24】个不等边三角形，a=(4),b=(6),c=(9), 面积为（9.562296）
在第【156】次组合时找到第【25】个不等边三角形，a=(4),b=(7),c=(8), 面积为（13.997768）
在第【157】次组合时找到第【26】个不等边三角形，a=(4),b=(7),c=(9), 面积为（13.416408）
在第【158】次组合时找到第【27】个不等边三角形，a=(4),b=(7),c=(10), 面积为（10.928746）
在第【160】次组合时找到第【28】个不等边三角形，a=(4),b=(8),c=(9), 面积为（15.998047）
在第【161】次组合时找到第【29】个不等边三角形，a=(4),b=(8),c=(10), 面积为（15.198684）
在第【163】次组合时找到第【30】个不等边三角形，a=(4),b=(9),c=(10), 面积为（17.984368）
在第【172】次组合时找到第【31】个不等边三角形，a=(5),b=(6),c=(7), 面积为（14.696938）
在第【173】次组合时找到第【32】个不等边三角形，a=(5),b=(6),c=(8), 面积为（14.981238）
在第【174】次组合时找到第【33】个不等边三角形，a=(5),b=(6),c=(9), 面积为（14.142136）
在第【175】次组合时找到第【34】个不等边三角形，a=(5),b=(6),c=(10), 面积为（11.399013）
在第【177】次组合时找到第【35】个不等边三角形，a=(5),b=(7),c=(8), 面积为（17.320508）
在第【178】次组合时找到第【36】个不等边三角形，a=(5),b=(7),c=(9), 面积为（17.412280）
在第【179】次组合时找到第【37】个不等边三角形，a=(5),b=(7),c=(10), 面积为（16.248077）
在第【181】次组合时找到第【38】个不等边三角形，a=(5),b=(8),c=(9), 面积为（19.899749）
在第【182】次组合时找到第【39】个不等边三角形，a=(5),b=(8),c=(10), 面积为（19.810035）
在第【184】次组合时找到第【40】个不等边三角形，a=(5),b=(9),c=(10), 面积为（22.449944）
在第【192】次组合时找到第【41】个不等边三角形，a=(6),b=(7),c=(8), 面积为（20.333163）
在第【193】次组合时找到第【42】个不等边三角形，a=(6),b=(7),c=(9), 面积为（20.976177）
在第【194】次组合时找到第【43】个不等边三角形，a=(6),b=(7),c=(10), 面积为（20.662466）
在第【196】次组合时找到第【44】个不等边三角形，a=(6),b=(8),c=(9), 面积为（23.525252）
在第【197】次组合时找到第【45】个不等边三角形，a=(6),b=(8),c=(10), 面积为（24.000000）
在第【199】次组合时找到第【46】个不等边三角形，a=(6),b=(9),c=(10), 面积为（26.663411）
在第【206】次组合时找到第【47】个不等边三角形，a=(7),b=(8),c=(9), 面积为（26.832816）
在第【207】次组合时找到第【48】个不等边三角形，a=(7),b=(8),c=(10), 面积为（27.810744）
在第【209】次组合时找到第【49】个不等边三角形，a=(7),b=(9),c=(10), 面积为（30.594117）
在第【215】次组合时找到第【50】个不等边三角形，a=(8),b=(9),c=(10), 面积为（34.197039）
总共尝试了 220 次组合。无法组成三角形的组合有 95 个，占比43.18%等腰三角形的组合有 65 个，占比 29.55%等边三角形的组合有 10 个，占比 4.55%不等边三角形的组合有 50 个，占比 22.73%最大的三角形面积为（34.20），最小的三角形面积为（2.90），所有三角形总面积为(707.52)，平均面积为（14.15）
